profile_id,strata,hard_ratio,mid_ratio,easy_ratio
s4_h0p40_m0p40_e0p20,4,0.4,0.4,0.2
s4_h0p45_m0p40_e0p15,4,0.45,0.4,0.15
s4_h0p45_m0p35_e0p20,4,0.45,0.35,0.2
s4_h0p50_m0p40_e0p10,4,0.5,0.4,0.1
s4_h0p50_m0p35_e0p15,4,0.5,0.35,0.15
s4_h0p50_m0p30_e0p20,4,0.5,0.3,0.2
s4_h0p55_m0p35_e0p10,4,0.55,0.35,0.1
s4_h0p55_m0p30_e0p15,4,0.55,0.3,0.15
s4_h0p55_m0p25_e0p20,4,0.55,0.25,0.2
s4_h0p60_m0p30_e0p10,4,0.6,0.3,0.1
s4_h0p60_m0p25_e0p15,4,0.6,0.25,0.15
s4_h0p60_m0p20_e0p20,4,0.6,0.2,0.2
s4_h0p65_m0p25_e0p10,4,0.65,0.25,0.1
s4_h0p65_m0p20_e0p15,4,0.65,0.2,0.15
s6_h0p40_m0p40_e0p20,6,0.4,0.4,0.2
s6_h0p45_m0p40_e0p15,6,0.45,0.4,0.15
s6_h0p45_m0p35_e0p20,6,0.45,0.35,0.2
s6_h0p50_m0p40_e0p10,6,0.5,0.4,0.1
s6_h0p50_m0p35_e0p15,6,0.5,0.35,0.15
s6_h0p50_m0p30_e0p20,6,0.5,0.3,0.2
s6_h0p55_m0p35_e0p10,6,0.55,0.35,0.1
s6_h0p55_m0p30_e0p15,6,0.55,0.3,0.15
s6_h0p55_m0p25_e0p20,6,0.55,0.25,0.2
s6_h0p60_m0p30_e0p10,6,0.6,0.3,0.1
s6_h0p60_m0p25_e0p15,6,0.6,0.25,0.15
s6_h0p60_m0p20_e0p20,6,0.6,0.2,0.2
s6_h0p65_m0p25_e0p10,6,0.65,0.25,0.1
s6_h0p65_m0p20_e0p15,6,0.65,0.2,0.15
s8_h0p40_m0p40_e0p20,8,0.4,0.4,0.2
s8_h0p45_m0p40_e0p15,8,0.45,0.4,0.15
s8_h0p45_m0p35_e0p20,8,0.45,0.35,0.2
s8_h0p50_m0p40_e0p10,8,0.5,0.4,0.1
s8_h0p50_m0p35_e0p15,8,0.5,0.35,0.15
s8_h0p50_m0p30_e0p20,8,0.5,0.3,0.2
s8_h0p55_m0p35_e0p10,8,0.55,0.35,0.1
s8_h0p55_m0p30_e0p15,8,0.55,0.3,0.15
s8_h0p55_m0p25_e0p20,8,0.55,0.25,0.2
s8_h0p60_m0p30_e0p10,8,0.6,0.3,0.1
s8_h0p60_m0p25_e0p15,8,0.6,0.25,0.15
s8_h0p60_m0p20_e0p20,8,0.6,0.2,0.2
s8_h0p65_m0p25_e0p10,8,0.65,0.25,0.1
s8_h0p65_m0p20_e0p15,8,0.65,0.2,0.15
s10_h0p40_m0p40_e0p20,10,0.4,0.4,0.2
s10_h0p45_m0p40_e0p15,10,0.45,0.4,0.15
s10_h0p45_m0p35_e0p20,10,0.45,0.35,0.2
s10_h0p50_m0p40_e0p10,10,0.5,0.4,0.1
s10_h0p50_m0p35_e0p15,10,0.5,0.35,0.15
s10_h0p50_m0p30_e0p20,10,0.5,0.3,0.2
s10_h0p55_m0p35_e0p10,10,0.55,0.35,0.1
s10_h0p55_m0p30_e0p15,10,0.55,0.3,0.15
s10_h0p55_m0p25_e0p20,10,0.55,0.25,0.2
s10_h0p60_m0p30_e0p10,10,0.6,0.3,0.1
s10_h0p60_m0p25_e0p15,10,0.6,0.25,0.15
s10_h0p60_m0p20_e0p20,10,0.6,0.2,0.2
s10_h0p65_m0p25_e0p10,10,0.65,0.25,0.1
s10_h0p65_m0p20_e0p15,10,0.65,0.2,0.15
s12_h0p40_m0p40_e0p20,12,0.4,0.4,0.2
s12_h0p45_m0p40_e0p15,12,0.45,0.4,0.15
s12_h0p45_m0p35_e0p20,12,0.45,0.35,0.2
s12_h0p50_m0p40_e0p10,12,0.5,0.4,0.1
s12_h0p50_m0p35_e0p15,12,0.5,0.35,0.15
s12_h0p50_m0p30_e0p20,12,0.5,0.3,0.2
s12_h0p55_m0p35_e0p10,12,0.55,0.35,0.1
s12_h0p55_m0p30_e0p15,12,0.55,0.3,0.15
s12_h0p55_m0p25_e0p20,12,0.55,0.25,0.2
s12_h0p60_m0p30_e0p10,12,0.6,0.3,0.1
s12_h0p60_m0p25_e0p15,12,0.6,0.25,0.15
s12_h0p60_m0p20_e0p20,12,0.6,0.2,0.2
s12_h0p65_m0p25_e0p10,12,0.65,0.25,0.1
s12_h0p65_m0p20_e0p15,12,0.65,0.2,0.15
