dataset_label,source_detail_file,dataset,profile_id,seed,strata,hard_ratio,mid_ratio,easy_ratio,ranking_mode,val_f1,val_auc,val_pr_auc,val_precision,val_recall,val_specificity,test1_f1_report_only,test1_auc_report_only,test1_pr_auc_report_only,test1_precision_report_only,test1_recall_report_only,test1_specificity_report_only,test2_f1_report_only,test2_auc_report_only,test2_pr_auc_report_only,test2_precision_report_only,test2_recall_report_only,test2_specificity_report_only,saved_dir
DN,/mnt/data/sdss_github_release/results/archived_profile_grid/dn_sdss32_final_profile_detail_20260519_002234.csv,dn,s10_h0p55_m0p25_e0p20,42,10,0.55,0.25,0.2,distance_only,0.9822485207100592,0.9991695501730103,0.9991542780176644,0.988095238095238,0.976470588235294,0.9882352941176472,0.8461538461538461,0.9710402379575312,0.9197818936022406,0.7521367521367521,0.967032967032967,0.8909774436090225,0.8585365853658536,0.9753472942152188,0.8966431915894791,0.7719298245614035,0.967032967032967,0.9018867924528302,outputs\dn_sdss32_final_s10_h0p55_m0p25_e0p20_seed42_20260519_002234\20260519_031415
DN,/mnt/data/sdss_github_release/results/archived_profile_grid/dn_sdss32_final_profile_detail_20260519_002234.csv,dn,s10_h0p55_m0p25_e0p20,52,10,0.55,0.25,0.2,distance_only,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,0.821917808219178,0.986945385441626,0.9655976324857776,0.703125,0.989010989010989,0.8571428571428571,0.8465116279069768,0.9787061994609164,0.8892196893002088,0.7338709677419355,1.0,0.8754716981132076,outputs\dn_sdss32_final_s10_h0p55_m0p25_e0p20_seed52_20260519_002234\20260519_031451
DN,/mnt/data/sdss_github_release/results/archived_profile_grid/dn_sdss32_final_profile_detail_20260519_002234.csv,dn,s10_h0p55_m0p25_e0p20,62,10,0.55,0.25,0.2,distance_only,0.9941520467836256,0.998892733564014,0.9988582988665105,0.9883720930232558,1.0,0.9882352941176472,0.898989898989899,0.9897132942245724,0.9726753209233352,0.8317757009345794,0.978021978021978,0.9323308270676692,0.8768472906403941,0.9854862119013064,0.9483254987528849,0.7946428571428571,0.978021978021978,0.9132075471698112,outputs\dn_sdss32_final_s10_h0p55_m0p25_e0p20_seed62_20260519_002234\20260519_031528
DN,/mnt/data/sdss_github_release/results/archived_profile_grid/dn_sdss32_final_profile_detail_20260519_002234.csv,dn,s10_h0p55_m0p25_e0p20,72,10,0.55,0.25,0.2,distance_only,1.0,1.0,1.0,1.0,1.0,1.0,0.8640776699029126,0.984549285301165,0.9517372971075838,0.7739130434782608,0.978021978021978,0.9022556390977444,0.8725490196078431,0.9896744764669292,0.9693233409221732,0.7876106194690266,0.978021978021978,0.909433962264151,outputs\dn_sdss32_final_s10_h0p55_m0p25_e0p20_seed72_20260519_002234\20260519_031603
DN,/mnt/data/sdss_github_release/results/archived_profile_grid/dn_sdss32_final_profile_detail_20260519_002234.csv,dn,s10_h0p55_m0p25_e0p20,82,10,0.55,0.25,0.2,distance_only,0.9940828402366864,0.9998615916955018,0.9998632010943912,1.0,0.9882352941176472,1.0,0.8144796380090498,0.9696769396017516,0.9042045400877972,0.6923076923076923,0.989010989010989,0.849624060150376,0.8490566037735849,0.9732324279494092,0.8914553170173638,0.743801652892562,0.989010989010989,0.8830188679245283,outputs\dn_sdss32_final_s10_h0p55_m0p25_e0p20_seed82_20260519_002234\20260519_031640
DPN,/mnt/data/sdss_github_release/results/archived_profile_grid/dpn_sdss32_final_profile_detail_20260519_065539.csv,dpn,s8_h0p60_m0p20_e0p20,42,8,0.6,0.2,0.2,distance_only,0.9850746268656716,1.0,1.0,1.0,0.9705882352941176,1.0,0.9863013698630136,0.9999325190633646,0.9998148833765272,0.9863013698630136,0.9863013698630136,0.9950738916256158,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,outputs\dpn_sdss32_final_s8_h0p60_m0p20_e0p20_seed42_20260519_065539\20260519_084752
DPN,/mnt/data/sdss_github_release/results/archived_profile_grid/dpn_sdss32_final_profile_detail_20260519_065539.csv,dpn,s8_h0p60_m0p20_e0p20,52,8,0.6,0.2,0.2,distance_only,0.9928057553956836,1.0,0.9999999999999998,0.9857142857142858,1.0,0.9852941176470588,0.9864864864864864,0.9999325190633646,0.9998148833765272,0.9733333333333334,1.0,0.9901477832512317,0.9798657718120806,0.9992613483749664,0.9978115562532336,0.9605263157894736,1.0,0.9852941176470588,outputs\dpn_sdss32_final_s8_h0p60_m0p20_e0p20_seed52_20260519_065539\20260519_084831
DPN,/mnt/data/sdss_github_release/results/archived_profile_grid/dpn_sdss32_final_profile_detail_20260519_065539.csv,dpn,s8_h0p60_m0p20_e0p20,62,8,0.6,0.2,0.2,distance_only,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,0.9863013698630136,0.9998650381267292,0.9996272309088974,0.9863013698630136,0.9863013698630136,0.9950738916256158,0.9931972789115646,0.9998656997045392,0.9996272309088974,0.9864864864864864,1.0,0.9950980392156864,outputs\dpn_sdss32_final_s8_h0p60_m0p20_e0p20_seed62_20260519_065539\20260519_084911
DPN,/mnt/data/sdss_github_release/results/archived_profile_grid/dpn_sdss32_final_profile_detail_20260519_065539.csv,dpn,s8_h0p60_m0p20_e0p20,72,8,0.6,0.2,0.2,distance_only,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.979591836734694,0.9996642492613484,0.9990638535241811,0.972972972972973,0.9863013698630136,0.9901960784313726,outputs\dpn_sdss32_final_s8_h0p60_m0p20_e0p20_seed72_20260519_065539\20260519_084948
DPN,/mnt/data/sdss_github_release/results/archived_profile_grid/dpn_sdss32_final_profile_detail_20260519_065539.csv,dpn,s8_h0p60_m0p20_e0p20,82,8,0.6,0.2,0.2,distance_only,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9864864864864864,0.9993284985226968,0.9981005505305238,0.9733333333333334,1.0,0.9901960784313726,outputs\dpn_sdss32_final_s8_h0p60_m0p20_e0p20_seed82_20260519_065539\20260519_085025
DKA,/mnt/data/sdss_github_release/results/archived_profile_grid/dka_sdss32_final_profile_detail_20260519_131725.csv,dka,s8_h0p60_m0p20_e0p20,42,8,0.6,0.2,0.2,distance_only,0.9565217391304348,0.9886578449905484,0.987509166921312,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9504950495049505,0.997242140099283,0.9873625714592892,0.9230769230769232,0.979591836734694,0.981981981981982,0.9245283018867924,0.9952904238618524,0.9747047943661884,0.8596491228070176,1.0,0.9615384615384616,outputs\dka_sdss32_final_s8_h0p60_m0p20_e0p20_seed42_20260519_131725\20260519_153814
DKA,/mnt/data/sdss_github_release/results/archived_profile_grid/dka_sdss32_final_profile_detail_20260519_131725.csv,dka,s8_h0p60_m0p20_e0p20,52,8,0.6,0.2,0.2,distance_only,0.967741935483871,0.9929111531190926,0.9928155296184988,0.9574468085106383,0.9782608695652174,0.9565217391304348,0.9514563106796116,0.9960470674756388,0.9803457257905503,0.9074074074074074,1.0,0.9774774774774776,0.9056603773584906,0.9890109890109888,0.9426132772429217,0.8421052631578947,0.979591836734694,0.9567307692307692,outputs\dka_sdss32_final_s8_h0p60_m0p20_e0p20_seed52_20260519_131725\20260519_153857
DKA,/mnt/data/sdss_github_release/results/archived_profile_grid/dka_sdss32_final_profile_detail_20260519_131725.csv,dka,s8_h0p60_m0p20_e0p20,62,8,0.6,0.2,0.2,distance_only,1.0,1.0,1.0,1.0,1.0,1.0,0.9215686274509804,0.9971502114359256,0.9886614403678256,0.8867924528301887,0.9591836734693876,0.972972972972973,0.9074074074074074,0.9947998430141288,0.9743414093663738,0.8305084745762712,1.0,0.9519230769230768,outputs\dka_sdss32_final_s8_h0p60_m0p20_e0p20_seed62_20260519_131725\20260519_153940
DKA,/mnt/data/sdss_github_release/results/archived_profile_grid/dka_sdss32_final_profile_detail_20260519_131725.csv,dka,s8_h0p60_m0p20_e0p20,72,8,0.6,0.2,0.2,distance_only,1.0,1.0,1.0,1.0,1.0,1.0,0.9423076923076924,0.9962309248023532,0.973423938123861,0.8909090909090909,1.0,0.972972972972973,0.9333333333333332,0.9915620094191524,0.912707370113064,0.875,1.0,0.966346153846154,outputs\dka_sdss32_final_s8_h0p60_m0p20_e0p20_seed72_20260519_131725\20260519_154042
DKA,/mnt/data/sdss_github_release/results/archived_profile_grid/dka_sdss32_final_profile_detail_20260519_131725.csv,dka,s8_h0p60_m0p20_e0p20,82,8,0.6,0.2,0.2,distance_only,0.9787234042553192,0.9938563327032136,0.9932266849209584,0.9583333333333334,1.0,0.9565217391304348,0.9142857142857144,0.9939327082184224,0.9708552465232774,0.8571428571428571,0.979591836734694,0.963963963963964,0.9245283018867924,0.9919544740973312,0.954972126040886,0.8596491228070176,1.0,0.9615384615384616,outputs\dka_sdss32_final_s8_h0p60_m0p20_e0p20_seed82_20260519_131725\20260519_154129
